,store_id,store_id_only_num,store_name,booking,receipt,blog
0,s11730239,11730239,블루클럽 문래점,1,1,1
1,s1496865044,1496865044,은헤어클럽,1,1,1
2,s34155635,34155635,헤어미가,1,1,1
3,s20688327,20688327,리안헤어 당산역점,42,1,1
4,s20824605,20824605,이신영헤어,1,1,1
5,s20882916,20882916,한아름헤어,1,1,1
6,s20632913,20632913,신데렐라,1,1,1
7,s1383350688,1383350688,크라크라,1,1,1
8,s20621853,20621853,커트클럽,1,1,1
9,s1813924868,1813924868,비녀미용실,1,1,1
10,s38525801,38525801,박승철헤어스투디오 당산역점,254,1,10
11,s18569655,18569655,준오헤어 당산역점,105,2,10
12,s1395945792,1395945792,H studio,59,1,2
13,s36803115,36803115,레드헤어,1,1,1
14,s1463793286,1463793286,준희네미장원,33,1,1
15,s1705688465,1705688465,퀸보떼비단,1,1,1
16,s1269498171,1269498171,정회권헤어샵맨,1,1,1
17,s1751879101,1751879101,라파헤어,1,1,1
18,s19003896,19003896,헤어아트,1,1,1
19,s20634469,20634469,예쁜머리헤어샵,1,1,1
20,s1004641413,1004641413,헤어보이,1,1,1
21,s1823592942,1823592942,젬마헤어,1,1,1
22,s19002529,19002529,이연헤어디오,1,1,1
23,s837383931,837383931,머리하는풍경,1,1,1
24,s18583330,18583330,샬롱드마샬 여의도점,1,1,1
25,s1347458605,1347458605,팝콘헤어,1,1,1
26,s1045883174,1045883174,헤어코디,1,1,1
27,s18995334,18995334,이은주헤어갤러리,1,1,1
28,s20920837,20920837,우리미용실,1,1,1
29,s557025091,557025091,오다헤어 당산역점,8,1,1
30,s1057012126,1057012126,윤규리헤어,1,1,1
31,s1693520639,1693520639,이금숙헤어,1,1,1
32,s1197017634,1197017634,미고헤어,1,1,1
33,s32110563,32110563,신미옥헤어뷰티끄,1,1,1
34,s31042982,31042982,파알헤어,1,1,1
35,s1967390642,1967390642,석희미용실,1,1,1
36,s19002250,19002250,박영수헤어,1,1,1
37,s13159663,13159663,더헤어,1,1,1
38,s20627424,20627424,미헤어리더,1,1,1
39,s19866765,19866765,미랑컬헤어 영등포구청역점,12,1,7
40,s1489042912,1489042912,리원헤어,1,1,1
41,s13455005,13455005,달려라 레게,1,1,1
42,s11730250,11730250,블루클럽 서여의도점,1,1,1
43,s20909464,20909464,백운미용실,1,1,1
44,s1061085606,1061085606,헤어포유,1,1,1
45,s20909485,20909485,헤어랑미용실,1,1,1
46,s20339477,20339477,필리아헤어살롱,1,1,1
47,s20638463,20638463,헤어써플라이,1,1,1
48,s1991798928,1991798928,머리못하는집,1,1,1
49,s1744167103,1744167103,박민헤어아티스트,1,1,1
50,s20886562,20886562,이태리헤어도림점,1,1,1
51,s36535714,36535714,이화헤어,1,1,1
52,s1645020111,1645020111,혜민헤어스튜디오,1,1,1
53,s21783406,21783406,라벨르헤어,1,1,1
54,s20585699,20585699,컷팅 엣지,1,1,1
55,s1596070137,1596070137,더뉴아이헤어,1,1,1
56,s20824606,20824606,쁘띠헤어,1,1,1
57,s20848021,20848021,드보라미용실,1,1,1
58,s20920824,20920824,컷트클럽 신풍시장점,1,1,1
59,s20637668,20637668,헤어매직,1,1,1
60,s1801094206,1801094206,Yoons Hair,1,1,1
61,s34482171,34482171,헤어헤리티지문래점,1,1,2
62,s1540243486,1540243486,아톰헤어,1,1,1
63,s20836285,20836285,연이헤어,1,1,1
64,s19477710,19477710,스타일헤어,49,2,10
65,s1692349360,1692349360,H스타일헤어살롱 당산점,7,1,2
66,s1632736989,1632736989,뷰티살롱수다,4,1,4
67,s37647903,37647903,NO1 Boram,1,1,1
68,s20625103,20625103,머리휘,1,1,1
69,s18671780,18671780,엘빈헤어,15,1,1
70,s20855633,20855633,제이헤어,1,1,1
71,s37727240,37727240,노블헤어,1,1,1
72,s32505254,32505254,토니앤가이콘래드,,,
73,s35263835,35263835,토니앤가이 콘래드호텔점,1,1,11
74,s20863418,20863418,헤어톡톡,1,1,1
75,s30887132,30887132,뷰티바이휘,1,1,1
76,s20905181,20905181,오미헤어샵,1,1,1
77,s1815039510,1815039510,헤어풍경,1,1,1
78,s20627420,20627420,미장금헤어까페,1,1,1
79,s1414911340,1414911340,쎄븐미용실,,,
80,s33906866,33906866,리안헤어 문래점,47,1,10
81,s13343512,13343512,박찬헤어스테이지,34,1,11
82,s30824055,30824055,지앤헤어모드,1,1,1
83,s1184705709,1184705709,W스타일헤어By김미영,1,1,1
84,s21844560,21844560,리오헤어,40,1,1
85,s1730539414,1730539414,샤론미용실,1,1,1
86,s1127629589,1127629589,준오헤어 가든준오IFC몰점,205,2,10
87,s36369158,36369158,준오헤어 여의도IFC몰점,56,3,10
88,s1029689321,1029689321,헬로우컷 여의도점,1,1,1
89,s21587785,21587785,공간에이트,1,1,11
90,s36266113,36266113,제오헤어 여의도점,174,1,9
91,s1868309635,1868309635,I미르헤어,1,1,1
92,s31855402,31855402,헤어바이아톰,1,1,1
93,s19018141,19018141,차은희헤어갤러리,1,1,1
94,s20824575,20824575,금의랑헤어샵,1,1,1
95,s1584627542,1584627542,이레미용실,1,1,1
96,s1070157752,1070157752,머리할때됐다,1,1,1
97,s20916951,20916951,헤어체인지,1,1,1
98,s20886623,20886623,뽀그리헤어,1,1,1
99,s32711121,32711121,H스타일 영등포구청역점,50,1,11
100,s30886710,30886710,영희미용실,1,1,1
101,s20928343,20928343,현헤어,1,1,1
102,s33636603,33636603,민찬뷰티헤어작,1,1,1
103,s1478801890,1478801890,리엘헤어,24,1,3
104,s1993469355,1993469355,사랑미용실,1,1,1
