,store_id,store_id_only_num,store_name,booking,receipt,blog
0,s17925156,17925156,우성미용실,1,1,1
1,s17967204,17967204,현대미용실,1,1,1
2,s19419166,19419166,수경미용실,1,1,1
3,s20906229,20906229,정헤어샵,1,1,1
4,s1972151163,1972151163,낭자김미용실,1,1,1
5,s20928782,20928782,이영헤어펀,1,1,1
6,s1054039444,1054039444,러스미용실,1,1,1
7,s20932561,20932561,러스헤어,1,1,1
8,s20856305,20856305,하니미용실,1,1,1
9,s18684069,18684069,궁전미용실,1,1,1
10,k17997233,17997233,세검미용실,1,1,1
11,s20871633,20871633,정현미용실,1,1,1
12,s20856134,20856134,선화헤어센스,1,1,1
13,s33692039,33692039,성희비비헤어샵,1,1,1
14,s1037283975,1037283975,하루스타일,1,1,1
15,s1415399916,1415399916,박지수의 머리여행,1,1,1
16,s1662538033,1662538033,Mc헤어스토리,1,1,1
17,s20937675,20937675,모던헤어,1,1,1
18,s37275096,37275096,프라이빗헤어,1,1,1
19,s805100900,805100900,샵헤어,1,1,1
20,s1855136256,1855136256,살롱드소이,1,1,1
21,s861558914,861558914,마르셀헤어,1,1,1
22,s1492375669,1492375669,더컷,1,1,1
23,s1252229355,1252229355,미유헤어,1,1,1
24,k1310180507,1310180507,헤어&드레스,1,1,1
25,s20826328,20826328,로제헤어,1,1,1
26,s894374692,894374692,옻안타는천연염색 대조점,1,1,1
27,s1004387540,1004387540,토리헤어 은평뉴타운점,1,1,1
28,s1396243698,1396243698,유채희헤어,1,1,1
29,s18663574,18663574,헤어매니아,1,1,1
30,s20903401,20903401,썬헤어,1,1,1
31,s1773972236,1773972236,더헤어엘,1,1,1
32,s20941560,20941560,아리아헤어,1,1,1
33,s37756034,37756034,디에이헤어,1,1,1
34,s37777893,37777893,뷰티헤어엔네일,1,1,1
35,s38325196,38325196,렉스헤어,1,1,1
36,s37766511,37766511,헬로우컷 구산점,1,1,1
37,s20918675,20918675,머리치장,1,1,1
38,s1987047285,1987047285,김현숙헤어,1,1,1
39,s20934026,20934026,고은헤어,1,1,1
40,s1849533408,1849533408,쿨헤어,1,1,1
41,s38490244,38490244,더끌림,1,1,1
42,s37430799,37430799,Hair Fit,1,1,1
43,s35896317,35896317,라움헤어,1,1,1
44,s1369708226,1369708226,피오레헤어,1,1,1
45,s1198190121,1198190121,제니헤어,1,1,1
46,s34352567,34352567,김소희헤어,1,1,1
47,s1710291302,1710291302,카라헤어,1,1,1
48,s31394177,31394177,지앤미헤어,1,1,1
49,s37186663,37186663,다인헤어,1,1,1
50,s1629175549,1629175549,태후사랑구산점,1,1,1
51,s38589891,38589891,낙천주의 헤어,1,1,1
52,s20865240,20865240,예쁜머리,1,1,1
53,s1941796337,1941796337,헤어미미용실,1,1,1
54,s34722001,34722001,더헤어,1,1,1
55,s35156129,35156129,달콤헤어,1,1,1
56,s37126570,37126570,어반디노헤어,1,1,1
57,s38472560,38472560,나단헤어,1,1,1
58,s1005672798,1005672798,김민희헤어,1,1,1
59,s1351399508,1351399508,Hair andy,1,1,1
60,s37847406,37847406,루시헤어BY소현,1,1,1
61,s38255367,38255367,헤어 그리고,1,1,1
62,s20880262,20880262,연주헤어모드,1,1,1
63,s1641441104,1641441104,엠와이청담,1,1,1
64,s1967326357,1967326357,이든헤어,1,1,1
65,s31135256,31135256,vivi헤어,1,1,1
66,s1451285198,1451285198,럭스헤어,1,1,1
67,s1418210648,1418210648,다온헤어,1,1,1
68,s1676090797,1676090797,맨투맨,1,1,1
69,s1250981294,1250981294,엣지포미,1,1,1
70,s1836561790,1836561790,힐링헤어,1,1,1
71,s1908005580,1908005580,마샹스헤어,1,1,1
72,s1024021411,1024021411,압구정헤어,1,1,1
73,s1207990314,1207990314,순백헤어,1,1,1
74,s1714882080,1714882080,신데렐라헤어,1,1,1
75,s1895388744,1895388744,역촌동 하늬헤어,1,1,1
76,s20903471,20903471,이얀헤어갤러리,1,1,1
77,s1890990404,1890990404,모아헤어엔네일,1,1,1
78,s1723600255,1723600255,수헤어,1,1,1
79,s1507029992,1507029992,아이유미용실,1,1,1
80,s915311073,915311073,허경헤어샾,1,1,1
81,s1048682701,1048682701,컷트클럽,1,1,1
82,s1879093217,1879093217,헤어엘리,1,1,1
83,s1567477214,1567477214,미작헤어,1,1,1
84,s1291289157,1291289157,아셀헤어,1,1,1
85,s38632443,38632443,마로별헤어,1,1,1
86,s18673011,18673011,자르지오,1,1,1
87,s1440728761,1440728761,비쥬헤어,1,1,1
88,s1058788770,1058788770,리본헤어,1,1,1
89,s38575362,38575362,바베네헤어살롱,1,1,1
90,s1274170720,1274170720,1헤어,1,1,1
91,s1042711484,1042711484,주헤어,1,1,1
92,s920482395,920482395,자름,1,1,1
93,s1555734099,1555734099,비비헤어,1,1,1
94,s20911259,20911259,헤어보그,1,1,1
95,s536170853,536170853,리앤헤어,1,1,1
96,s1985291258,1985291258,헤어포유,1,1,1
97,s1049458605,1049458605,체인지헤어샵 은평점,1,1,1
98,s786712083,786712083,에클라헤어,1,1,1
99,s367258260,367258260,도란도란헤어샵,1,1,1
100,s549259138,549259138,에스더헤어,1,1,1
101,s1707642996,1707642996,살롱드프롬 연신내2호점,1,1,1
102,s37753545,37753545,MINE Hair Atelier,1,1,1
103,s755243124,755243124,Blossom by kiwon,1,1,1
104,s1030567031,1030567031,에이플러스헤어,1,1,1
105,s1291622433,1291622433,길살롱,1,1,1
106,s18125775,18125775,신데렐라헤어펌,1,1,1
107,s20930164,20930164,헤어닷컴,1,1,1
108,s1672397390,1672397390,러브헤어,1,1,1
109,s20892111,20892111,숙헤어갤러리,1,1,1
110,s1997310166,1997310166,압구정헤어2호점,1,1,1
111,s18666113,18666113,리헤어,1,1,1
112,s1845740932,1845740932,샤론헤어,1,1,1
113,s20834240,20834240,헤어코코,1,1,1
114,s18669139,18669139,임정희헤어샵,1,1,1
115,s18660736,18660736,진미용실,1,1,1
116,s20841901,20841901,구근혜헤어아트,1,1,1
117,s1904950344,1904950344,예쁜머리,1,1,1
118,s1066633098,1066633098,영헤어,1,1,1
119,s1205313541,1205313541,주아미용실,1,1,1
120,s18138000,18138000,고추잠자리미용실,1,1,1
121,s18662438,18662438,이화미용실,1,1,1
122,s1405170320,1405170320,말헤어,1,1,1
