,store_id,store_id_only_num,store_name,booking,receipt,blog
0,s37269600,37269600,마르떼헤어,1,1,1
1,s36084433,36084433,새벽,1,1,1
2,s1122714010,1122714010,그림헤어,1,1,1
3,s36324116,36324116,라망데듀 헤어살롱,1,1,1
4,s38251984,38251984,M헤어살롱,1,1,1
5,s485147314,485147314,미미헤어샵,1,1,1
6,s1265015196,1265015196,남성컷트클럽마포점,1,1,1
7,s36404684,36404684,진헤어,1,1,1
8,s34557437,34557437,모드니헤어,1,1,1
9,s36998214,36998214,카멜레온,1,1,1
10,s33252666,33252666,헤어살롱 아뜨리에,1,1,1
11,s34129674,34129674,가온헤어,1,1,1
12,s37555560,37555560,라벨르헤어,1,1,1
13,s33546418,33546418,박철헤어리쉬홍대점,1,1,1
14,s1409612135,1409612135,아씨미용타운,1,1,1
15,s20875627,20875627,성희미용실,1,1,1
16,s1342276917,1342276917,바나바나헤어,1,1,1
17,s20910064,20910064,장호정헤어모드,1,1,1
18,s1376994641,1376994641,김미현헤어,1,1,1
19,s1718099207,1718099207,장미숙헤어클리닉,1,1,1
20,s20917623,20917623,강남미용실,1,1,1
21,s18765893,18765893,오복미용실,1,1,1
22,s20898593,20898593,김송엽헤어샵,1,1,1
23,s19418139,19418139,다운타운미용실,1,1,1
24,s1302867533,1302867533,나성희헤어라인,1,1,1
25,s18765649,18765649,란미용실,1,1,1
26,s20921224,20921224,복지헤어샵,1,1,1
27,s1135277532,1135277532,뉴헤어스타,1,1,1
28,s35023630,35023630,더끌리지헤어,1,1,1
29,s20898610,20898610,닥터헤어,1,1,1
30,s33868661,33868661,이수니헤어,1,1,1
31,s18078189,18078189,김지연미용실,1,1,1
32,s284158772,284158772,소프레사 상암DMC점,1,1,1
33,s20845908,20845908,제이헤어,1,1,1
34,s1637386441,1637386441,Park Chan hair,1,1,1
35,s1919854872,1919854872,W헤어,1,1,1
36,s1050049809,1050049809,끄댕이,1,1,1
37,s38414704,38414704,소울시저스,1,1,1
38,s33965073,33965073,헤어센스,1,1,1
39,s11612637,11612637,쟝피엘헤어 상암점,1,1,1
40,s31394586,31394586,다경미용실,1,1,1
41,s1115937446,1115937446,보보  헤어,1,1,1
42,s18775988,18775988,머리가,1,1,1
43,s13154818,13154818,케이앤케이남성커트,1,1,1
44,s13557983,13557983,건우헤어,1,1,1
45,s36166432,36166432,정헤어,1,1,1
46,s38010753,38010753,S hair,1,1,1
47,s18772757,18772757,최영헤어붐,1,1,1
48,s13126652,13126652,헤어엔조이,1,1,1
49,s32059357,32059357,인스타일,1,1,1
50,s20832976,20832976,금메달미용실,1,1,1
51,s20917663,20917663,헤어수,1,1,1
52,s20430584,20430584,마임헤어마포점,1,1,1
53,s18792117,18792117,박명선헤어,1,1,1
54,s1277922922,1277922922,살롱드블랑쉬,1,1,1
55,s1739561279,1739561279,무드인살롱,1,1,1
56,s20887031,20887031,명품헤어샾,1,1,1
57,s1025856831,1025856831,헤어스토리,1,1,1
58,s1429529169,1429529169,자야미용실,1,1,1
59,s1584653094,1584653094,나이스가이 신대방삼거리역점,1,1,1
60,s1794291692,1794291692,헤어뉴스,1,1,1
61,s1598567809,1598567809,바니헤어,1,1,1
62,s1571294620,1571294620,살롱드5K헤어 장승배기점,1,1,1
63,s37286527,37286527,이쁜머리,1,1,1
64,s1100437863,1100437863,미용실봄,1,1,1
65,s32799735,32799735,와이헤어,1,1,1
66,s1479652388,1479652388,연아헤어,1,1,1
67,s1067712692,1067712692,소울헤어,1,1,1
68,s1924346250,1924346250,비비드제이,1,1,1
69,s1519645733,1519645733,민Je헤어,1,1,1
70,s13156669,13156669,지오헤어클럽,1,1,1
71,s1738435032,1738435032,IMH,1,1,1
72,s1764071190,1764071190,ON헤어,1,1,1
73,s1465043416,1465043416,나이스가이 숭실대역점,1,1,1
74,s244596436,244596436,엘헤어샵,1,1,1
75,s1541535368,1541535368,하루헤어,1,1,1
76,s1723727201,1723727201,조안헤어,1,1,1
77,s1068780862,1068780862,현서스타일,1,1,1
78,s18296898,18296898,유언자미용실,1,1,1
79,s30982440,30982440,블루클럽 상암점,1,1,1
80,s1913089113,1913089113,592,1,1,1
81,s37442012,37442012,헤어하우스바이호란,1,1,1
82,s37403034,37403034,심가나미장원,1,1,1
83,s35156236,35156236,치글헤어,1,1,1
84,s1284229963,1284229963,훈스타일,1,1,1
85,s11729930,11729930,블루클럽 귀빈로점,1,1,1
86,s1859930078,1859930078,진미용실,1,1,1
87,s20956083,20956083,IM헤어살롱,1,1,1
88,s18905064,18905064,보브헤어,1,1,1
89,s75039898,75039898,보브헤어,1,1,1
90,s18795014,18795014,보브헤어,1,1,1
91,s1932803272,1932803272,보브헤어,1,1,1
92,s423723709,423723709,보브헤어,1,1,1
93,s1224864946,1224864946,보브미용실,1,1,1
94,s21306270,21306270,살롱드 루시,1,1,1
95,s1157641149,1157641149,아람살롱,1,1,1
96,s1595718795,1595718795,박상국커트 앤 스파,1,1,1
97,s1046103364,1046103364,더헤어앤위그,1,1,1
