store_id,store_name,booking,receipt,blog,total
1518997092,준오헤어 노원사거리점,2004,3,15,2022
1571970153,차홍룸 홍대점,1998,1,10,2009
1142939643,차홍룸 용산센트럴점,1861,3,11,1875
1481443590,차홍룸 용산점,1536,2,11,1549
1177346002,차홍룸 양재점,1363,1,10,1374
1906769677,차홍룸 삼성점,1320,2,10,1332
1524045876,차홍룸 신논현점,1278,2,10,1290
32692564,CHOP헤어 신천점,963,1,11,975
1088094452,차홍룸 목동점,948,3,10,961
1746174193,차홍룸 신촌점,931,1,10,942
1967312452,차홍룸 한남점,878,1,10,889
38642772,제오헤어 신촌점,849,2,10,861
21331306,CHOP헤어 잠실점,773,1,11,785
1349483891,차홍룸 잠실점,723,2,11,736
944203444,유니크바이,682,1,11,694
37653586,박승철헤어스투디오 신촌점,679,1,10,690
1026108143,에이엠톤 본점,677,1,10,688
1567835311,박승철헤어스투디오 신림점,572,1,10,583
34983865,준오헤어 서울대입구역점,565,2,10,577
950329204,메종드아이디헤어 CBS목동점,549,11,10,570
34585445,리안헤어 중랑역점,534,2,11,547
32264673,이진헤어 노량진점,521,2,8,531
37101503,CHOPHAIR 대치점,518,1,11,530
37911640,박준뷰티랩 종각역점,499,1,10,510
11726491,준오헤어 강남2호점,480,1,11,492
33874401,더 부띠끄 건대점,469,3,15,487
63165318,준오헤어 방배역점,470,2,11,483
1646635576,차홍룸 대치점,472,1,10,483
11780868,이철헤어커커 명동1호점,469,1,13,483
37207278,준오헤어 노원역점,455,1,10,466
35608702,그라티아,451,1,10,462
13522443,박승철헤어스투디오 홍대점,437,10,11,458
1147929912,더 부띠끄 강남점,429,1,15,445
33050015,제오헤어 이수점,427,1,11,439
13154187,이철헤어커커 신림점,434,2,1,437
11830399,쟝피엘헤어 서울대입구역점,426,1,10,437
276866921,리안헤어 신내점,421,2,10,433
1476629369,파리지엔헤어 명동점,403,1,11,415
13457551,준오헤어 이수역점,398,5,11,414
31197568,파란헤어 강남본점,391,1,11,403
920634429,박준뷰티랩 서울대입구역점,389,1,10,400
30868013,이철헤어커커 구로디지털단지역점,378,1,10,389
31384717,CHOP헤어 홍대점,377,1,10,388
13186001,박승철헤어스투디오 상도점,375,2,10,387
33576116,다온헤어 건대점,366,1,15,382
90606567,준오헤어 문정역점,366,1,11,378
36763183,준오헤어 홍대2호점,365,1,10,376
21387752,쟝피엘헤어 낙성대 라이프스타일점,361,1,10,372
1665527436,리안헤어 상봉역점,356,1,6,363
1894939931,헤어더뷰 서울대입구역점,351,1,10,362
37207269,준오헤어 잠실롯데월드몰점,338,1,10,349
35708601,이철헤어커커 목동홈플러스점,336,1,10,347
35608684,진미장살롱,326,6,11,343
33938157,준오헤어 가로수길점,315,9,11,335
1329001579,헤어더뷰 강남점,320,1,10,331
36351504,준오헤어 구의역점,312,1,10,323
31213050,리안헤어 신림점,309,1,12,322
38233601,준오헤어 강남레드점,309,1,10,320
902588037,박준뷰티랩 신대방삼거리점,309,1,10,320
13184969,이철헤어커커 명동2호점,296,1,15,312
222169546,프롬에이 아현뉴타운점,298,1,11,310
11726494,준오헤어 강남1호점,297,1,10,308
30809001,이철헤어커커 가양홈플러스점,295,1,10,306
36072086,리안헤어 구의역점,293,1,10,304
33851197,리안헤어 이수역점,296,1,7,304
12053151,라리엔 명동점,280,1,12,293
1045893423,박승철헤어스투디오 이수역점,260,21,10,291
36199663,살롱오디너리,276,2,10,288
1407062583,리안헤어 아차산역점,280,1,6,287
37775650,살롱 드 리본,275,1,11,287
1148956991,헤어로맨스,276,1,10,287
37484299,리안헤어 한양대점,270,1,15,286
1173397154,차홍룸 압구정점,270,1,10,281
37207281,준오헤어 강남우성점,268,1,10,279
1867773103,박준뷰티랩 영등포역점,267,1,10,278
37076679,이철헤어커커 대치점,266,1,11,278
1722437544,리안헤어 군자역점,263,1,7,271
391359158,준오헤어 강남우성사거리점,257,1,12,270
1785850786,살롱드부띠크 페이버릿점,254,1,15,270
38501265,라리엔 강남점,258,1,11,270
18742865,제오헤어 대방점,257,1,11,269
1703840024,토니앤가이 목동2호점,255,1,13,269
1173497337,미채움헤어,255,1,13,269
91786087,보그헤어 화곡점,244,13,10,267
36624634,로코코헤어,253,1,11,265
38525801,박승철헤어스투디오 당산역점,252,1,10,263
1115349689,로이드밤 천호점,253,2,7,262
1937022489,에이컨셉 이수점,250,1,10,261
671212338,메종드아이디헤어 문정하비오점,214,31,11,256
1164456562,보그헤어 잠실새내역점,241,1,13,255
1818157839,레뮤즈,244,1,10,255
13502147,토니앤가이 목동점,241,1,13,255
1179531843,로이드밤 응암역점,241,1,9,251
37700083,안다미로헤어 마포점,237,1,11,249
1225426775,순시키헤어 홍대점,231,2,11,244
37746945,이퀄다이아몬드,230,1,12,243
37917838,살롱드부띠크 본점,227,1,15,243
38003572,듀벨헤어,230,1,10,241
1387964242,준오헤어 가든준오 용산아이파크몰점,225,1,11,237
36663115,헤어아티스트m 용산점,230,1,5,236
1491063937,리안헤어 봉화산역점,225,1,10,236
783468304,최가을헤어드레서 화곡점,225,1,10,236
37890502,그로잉살롱 본점,220,1,14,235
38425836,더본헤어 동부시장점,220,1,11,232
466972737,리소헤어 서울대입구점,220,1,10,231
35913513,보그헤어 우장산역점,215,1,10,226
1169633050,리안헤어 장안사거리점,218,1,6,225
38641784,반트헤어살롱 암사점,213,1,10,224
13527417,이철헤어커커 교대점,212,1,10,223
1006407012,더부띠끄 라운지점,211,1,11,223
1278852855,CHOP헤어 송파점,210,1,11,222
36364106,리소헤어 건대점,209,1,10,220
36992294,리즈 헤어라벨르 홍대점,217,1,1,219
557191513,준오헤어 낙성대역점,207,2,10,219
11887616,데몬헤어 이대점,206,1,12,219
410893842,보그헤어 아현역점,207,1,10,218
37471730,데이바이데이정헤어,206,1,10,217
892105169,플랜에이치 홍대점,205,1,11,217
1127629589,준오헤어 가든준오IFC몰점,204,2,10,216
1421030381,아이디헤어 아현뉴타운점,203,1,10,214
21029049,이철헤어커커 잠실신천2호점,202,1,10,213
37207287,준오헤어 종합운동장사거리점,200,1,10,211
215119768,박준뷰티랩 사당점,203,1,5,209
37207279,준오헤어 노원문화의거리점,189,7,11,207
30944129,에이난 홍대점,193,1,11,205
1921760811,에이컨셉 강남2호점,193,1,10,204
686653075,이가자헤어비스 공덕역점,194,1,9,204
1418714277,에피소드 헤어스토리,199,1,1,201
37370153,준오헤어 목동41타워점,183,7,11,201
961858874,어반그라운드헤어 상왕십리점,188,1,10,199
1674221445,박승철헤어스투디오 송파헬리오시티점,187,1,10,198
32800168,준오헤어 천호역점,187,1,10,198
1097198281,리안헤어 사당로데오점,165,23,9,197
1315188725,헤어살롱 기쁘다 건대점,180,2,15,197
1847594617,오캄 현대백화점 미아점,186,1,10,197
37097895,오다헤어 이태원로데오점,186,1,9,196
1700494654,준오헤어 강남역스퀘어점,183,3,10,196
1638916447,리안헤어 명일역점,190,1,4,195
36997020,보그헤어 천호역점,180,1,12,193
1087406696,이진헤어 본점,179,1,11,191
1045056143,준오헤어 선릉테헤란로점,179,1,11,191
11721479,와이미용실,189,1,1,191
34689376,준오헤어 돈암1호점,179,1,10,190
37687262,리안헤어 문정법조타운점,186,1,3,190
36878425,보그헤어 신도림역점,178,1,10,189
35013646,헤어벨리시마 건대점,177,1,11,189
1445855462,아버헤어 홍대 롯데호텔점,174,3,10,187
34052371,H STYLE 헤어살롱 노량진점,175,1,10,186
31116556,박승철헤어스투디오 타임스퀘어점,176,1,8,185
37112551,Hairby우호우상 신천점,173,1,11,185
36432431,떼뜨베르,172,1,11,184
250475690,살롱에이 방배역1호점,176,1,7,184
578554202,클라스헤어,172,1,11,184
37207595,아이디헤어 은평뉴타운점,168,3,12,183
1311049269,보그헤어 창동역점,176,1,6,183
36266113,제오헤어 여의도점,172,1,9,182
