,store_id,store_id_only_num,store_name,booking,receipt,blog,total
2727,s1210302845,1210302845,영헤어,1.0,1.0,1.0,3.0
2728,s20836932,20836932,샤론미용실,1.0,1.0,1.0,3.0
2729,s18624975,18624975,산리쯔헤어,1.0,1.0,1.0,3.0
2730,s1888281527,1888281527,스타일헤어,1.0,1.0,1.0,3.0
2731,s209752869,209752869,칼리아헤어샵,1.0,1.0,1.0,3.0
2732,s1738953862,1738953862,또또미용실,1.0,1.0,1.0,3.0
2733,s32167131,32167131,핀컬스토리헤어,1.0,1.0,1.0,3.0
2734,s33636596,33636596,한민경헤어,1.0,1.0,1.0,3.0
2735,s33238205,33238205,수헤어,1.0,1.0,1.0,3.0
2736,s32473464,32473464,지헤어성산점,1.0,1.0,1.0,3.0
2737,s20886983,20886983,미즈헤어,1.0,1.0,1.0,3.0
2738,s18632410,18632410,샘미용실,1.0,1.0,1.0,3.0
2739,s20916066,20916066,헤어스케치,1.0,1.0,1.0,3.0
2740,s1447059625,1447059625,팜므헤어&메이크업,1.0,1.0,1.0,3.0
2741,s18793982,18793982,헤어스케치,1.0,1.0,1.0,3.0
2742,s38557679,38557679,나이스가이 창동점,1.0,1.0,1.0,3.0
2743,s20908611,20908611,사라헤어,1.0,1.0,1.0,3.0
2744,s1203097852,1203097852,최준 헤어매니아,1.0,1.0,1.0,3.0
2745,s31898850,31898850,칸타빌헤어,1.0,1.0,1.0,3.0
2746,s1082529622,1082529622,헤어201,1.0,1.0,1.0,3.0
2747,s18627347,18627347,최혜진헤어터치,1.0,1.0,1.0,3.0
2748,s17954776,17954776,펌앤컷,1.0,1.0,1.0,3.0
2749,s37778592,37778592,릿찌헤어,1.0,1.0,1.0,3.0
2750,s18629592,18629592,윤주헤어샵,1.0,1.0,1.0,3.0
2751,s1011290222,1011290222,이훈ALL30000 쌍문점,1.0,1.0,1.0,3.0
2752,s18796623,18796623,이상희헤어모드,1.0,1.0,1.0,3.0
2753,s20831525,20831525,고헤어샵,1.0,1.0,1.0,3.0
2754,s32167311,32167311,헤어코코창동점,1.0,1.0,1.0,3.0
2755,s20938974,20938974,궁헤어샵,1.0,1.0,1.0,3.0
2756,s21581948,21581948,헤어스케치마벨,1.0,1.0,1.0,3.0
2757,s18633263,18633263,휘미용실,1.0,1.0,1.0,3.0
2758,s17991913,17991913,아신헤어,1.0,1.0,1.0,3.0
2759,s18804258,18804258,태양미용타운,1.0,1.0,1.0,3.0
2760,s18806993,18806993,나나미용실,1.0,1.0,1.0,3.0
2761,s17964912,17964912,티나헤어미용실,1.0,1.0,1.0,3.0
2762,s737170064,737170064,에뛰드 라운지,1.0,1.0,1.0,3.0
2763,s1435157669,1435157669,와이미용실,1.0,1.0,1.0,3.0
2764,s11729954,11729954,블루클럽 성산점,1.0,1.0,1.0,3.0
2765,s1220365258,1220365258,나인헤어,1.0,1.0,1.0,3.0
2766,s1902789175,1902789175,메르시헤어,1.0,1.0,1.0,3.0
2767,s31730166,31730166,e헤어,1.0,1.0,1.0,3.0
2768,s20887031,20887031,명품헤어샾,1.0,1.0,1.0,3.0
2769,s18619320,18619320,W헤어,1.0,1.0,1.0,3.0
2770,s1965008284,1965008284,온스타일,1.0,1.0,1.0,3.0
2771,s1068780862,1068780862,현서스타일,1.0,1.0,1.0,3.0
2772,s1459680524,1459680524,아이리스 헤어,1.0,1.0,1.0,3.0
2773,s1522655738,1522655738,김윤주헤어,1.0,1.0,1.0,3.0
2774,s20858608,20858608,죠이헤어클럽,1.0,1.0,1.0,3.0
2775,s20823223,20823223,조희경헤어,1.0,1.0,1.0,3.0
2776,s13341999,13341999,울프샵,1.0,1.0,1.0,3.0
2777,s20900888,20900888,성희미용실,1.0,1.0,1.0,3.0
2778,s18792117,18792117,박명선헤어,1.0,1.0,1.0,3.0
2779,s20866473,20866473,헤어마루,1.0,1.0,1.0,3.0
2780,s13520873,13520873,도도헤어,1.0,1.0,1.0,3.0
2781,s1327309757,1327309757,CF헤어,1.0,1.0,1.0,3.0
2782,s1429672667,1429672667,쥬쥬헤어,1.0,1.0,1.0,3.0
2783,s20430584,20430584,마임헤어마포점,1.0,1.0,1.0,3.0
2784,s20917663,20917663,헤어수,1.0,1.0,1.0,3.0
2785,s30811948,30811948,보니토헤어,1.0,1.0,1.0,3.0
2786,s31391290,31391290,블루클럽 쌍문점,1.0,1.0,1.0,3.0
2787,s21339810,21339810,헤어살롱비,1.0,1.0,1.0,3.0
2788,s1205598282,1205598282,머리깍자,1.0,1.0,1.0,3.0
2789,s1539639602,1539639602,김미경헤어,1.0,1.0,1.0,3.0
2790,s20339395,20339395,안나헤어살롱,1.0,1.0,1.0,3.0
2791,s18001738,18001738,에이스미용실,1.0,1.0,1.0,3.0
2792,s1127200061,1127200061,헤어플러스,1.0,1.0,1.0,3.0
2793,s1788922714,1788922714,이지헤어,1.0,1.0,1.0,3.0
2794,s1592428317,1592428317,한솔미용실,1.0,1.0,1.0,3.0
2795,s20879632,20879632,베리따헤어,1.0,1.0,1.0,3.0
2796,s20388966,20388966,자쓰리헤어 홍대점,1.0,1.0,1.0,3.0
2797,s36003170,36003170,J STYLE hair,1.0,1.0,1.0,3.0
2798,s18793615,18793615,김경희헤어,1.0,1.0,1.0,3.0
2799,s20831634,20831634,리체헤어,1.0,1.0,1.0,3.0
2800,s36005258,36005258,마르떼헤어,1.0,1.0,1.0,3.0
2801,s20923339,20923339,정헤어,1.0,1.0,1.0,3.0
2802,s32572378,32572378,이가정헤어,1.0,1.0,1.0,3.0
2803,s32713613,32713613,초콜렛미용실,1.0,1.0,1.0,3.0
2804,s20942637,20942637,꽁지머리 쌍문점,1.0,1.0,1.0,3.0
2805,s190204427,190204427,서울미용실,1.0,1.0,1.0,3.0
2806,s1098489529,1098489529,질경이와함께하는조은염색,1.0,1.0,1.0,3.0
2807,s31154221,31154221,힐링헤어,1.0,1.0,1.0,3.0
2808,s18296898,18296898,유언자미용실,1.0,1.0,1.0,3.0
2809,s1562837009,1562837009,고은주헤어뉴스,1.0,1.0,1.0,3.0
2810,s1916332073,1916332073,엣지헤어앤네일,1.0,1.0,1.0,3.0
2811,s34975184,34975184,올리브헤어미용실,1.0,1.0,1.0,3.0
2812,k1722215047,1722215047,차앤진헤어,1.0,1.0,1.0,3.0
2813,s1708189552,1708189552,shytokki 토끼네미용실,1.0,1.0,1.0,3.0
2814,s12858177,12858177,샤인비앤비,1.0,1.0,1.0,3.0
2815,s21219666,21219666,비앤비헤어샵,1.0,1.0,1.0,3.0
2816,s11729872,11729872,블루클럽 창동점,1.0,1.0,1.0,3.0
2817,s20268351,20268351,장싸롱,1.0,1.0,1.0,3.0
2818,s1961956239,1961956239,한솔헤어컷,1.0,1.0,1.0,3.0
2819,s18630138,18630138,샤샤헤어샵,1.0,1.0,1.0,3.0
2820,s35142759,35142759,아인헤어,1.0,1.0,1.0,3.0
2821,s38590382,38590382,어퍼컷 마포점,1.0,1.0,1.0,3.0
2822,s18078189,18078189,김지연미용실,1.0,1.0,1.0,3.0
2823,s38463027,38463027,고운머리미용실,1.0,1.0,1.0,3.0
2824,s1664716506,1664716506,몽끌헤어,1.0,1.0,1.0,3.0
2825,s284158772,284158772,소프레사 상암DMC점,1.0,1.0,1.0,3.0
2826,s253090420,253090420,더지오,1.0,1.0,1.0,3.0
2827,s30982440,30982440,블루클럽 상암점,1.0,1.0,1.0,3.0
2828,s20850951,20850951,그린미용타운,1.0,1.0,1.0,3.0
2829,s17994597,17994597,신세계헤어,1.0,1.0,1.0,3.0
2830,s1192116301,1192116301,남성컷 쿨헤어,1.0,1.0,1.0,3.0
2831,s1936603715,1936603715,한가희헤어샵,1.0,1.0,1.0,3.0
2832,s1046103364,1046103364,더헤어앤위그,1.0,1.0,1.0,3.0
2833,s32059357,32059357,인스타일,1.0,1.0,1.0,3.0
2834,s1401609066,1401609066,1029헤어클럽,1.0,1.0,1.0,3.0
2835,s20884725,20884725,비&비헤어,1.0,1.0,1.0,3.0
2836,s20969523,20969523,진헤어,1.0,1.0,1.0,3.0
