,store_id,store_name,tel,addrRoad,category,collect_day,disctrict
0,s18570093,조희미용실,02-555-0157,서울특별시 강남구 남부순환로 2917 1층 111-가,"생활,편의 > 미용실",2020-04-19,강남구
1,s10983326,정정원 헤어 룩,02-545-3809,서울특별시 강남구 선릉로116길 24,"생활,편의 > 미용실",2020-04-19,강남구
2,s18431392,헤어인러브,02-546-0366,서울특별시 강남구 선릉로148길 39 2층,"생활,편의 > 미용실",2020-04-19,강남구
3,s34786519,앤즈헤어,02-553-9799,서울특별시 강남구 언주로 201 sk리더스뷰 2층 앤즈헤어,"생활,편의 > 미용실",2020-04-19,강남구
4,s697084146,아나스타일,02-501-0457,서울특별시 강남구 언주로97길 25,"생활,편의 > 미용실",2020-04-19,강남구
5,s11880276,라보노헤어 1호점,02-546-3372,서울특별시 강남구 강남대로118길 34,"생활,편의 > 미용실",2020-04-19,강남구
6,s20994406,살롱 드 브로,02-545-0396,서울특별시 강남구 강남대로118길 25,"생활,편의 > 미용실",2020-04-19,강남구
7,s1044020547,미앤미헤어살롱,02-445-5010,서울특별시 강남구 광평로31길 27,"생활,편의 > 미용실",2020-04-19,강남구
8,s32219467,제오헤어 압구정점,02-515-4914,서울특별시 강남구 선릉로161길 18,"생활,편의 > 미용실",2020-04-19,강남구
9,s1162694866,에스뷰테라 대치역점,02-555-6677,서울특별시 강남구 삼성로 155 대치퍼스트빌딩 5층,미용 > 미용실,2020-04-19,강남구
10,s21845046,컬처앤네이처 청담점,02-3444-1999,서울특별시 강남구 도산대로 404,"생활,편의 > 미용실",2020-04-19,강남구
11,s1696697649,에스헤어,02-512-9781,서울특별시 강남구 학동로12길 39,"생활,편의 > 미용실",2020-04-19,강남구
12,s18840116,S헤어1호점,,서울특별시 강남구 학동로6길 55,"생활,편의 > 미용실",2020-04-19,강남구
13,s1095251122,에스헤어,010-3782-1347,서울특별시 강남구 학동로6길 36,"생활,편의 > 미용실",2020-04-19,강남구
14,s754969870,에스블랙,,서울특별시 강남구 학동로20길 50,"생활,편의 > 미용실",2020-04-19,강남구
15,s916279830,터치스비,02-542-8236,서울특별시 강남구 논현로155길 10 터치스비 2층,"생활,편의 > 미용실",2020-04-19,강남구
16,s32260618,위즈인헤어,02-549-5665,서울특별시 강남구 강남대로118길 63,"생활,편의 > 미용실",2020-04-19,강남구
17,s32496464,사틴헤어 삼성역점,02-508-0903,서울특별시 강남구 테헤란로 532,미용 > 미용실,2020-04-19,강남구
18,s93418945,쉔부른헤어살롱,02-569-9411,서울특별시 강남구 영동대로 513 코엑스,"생활,편의 > 미용실",2020-04-19,강남구
19,s1381141756,유은정헤어,02-572-5365,서울특별시 강남구 개포로30길 14,"생활,편의 > 미용실",2020-04-19,강남구
20,s18807058,JOSHUA,02-512-1418,서울특별시 강남구 학동로63길 11 삼육빌딩 1층,"생활,편의 > 미용실",2020-04-19,강남구
21,s13102452,쎄봉,02-6085-5946,서울특별시 강남구 논현로75길 21 정원B/D,"생활,편의 > 미용실",2020-04-19,강남구
22,s38291418,로뎀헤어,02-564-0410,서울특별시 강남구 언주로97길 33 1층 로뎀헤어,"생활,편의 > 미용실",2020-04-19,강남구
23,s13075445,엔비헤어살롱,02-567-2335,서울특별시 강남구 강남대로102길 22 MIN빌딩 3층,"생활,편의 > 미용실",2020-04-19,강남구
24,s1186558016,리안헤어 수서역점,02-2040-6222,서울특별시 강남구 밤고개로1길 10 현대벤처빌 2층 208호,"생활,편의 > 미용실",2020-04-19,강남구
25,s935307551,벨르팜므헤어살롱,02-514-1212,서울특별시 강남구 논현로106길 8,"생활,편의 > 미용실",2020-04-19,강남구
26,s13592219,더에이,02-546-2177,서울특별시 강남구 언주로150길 41 3층,"생활,편의 > 미용실",2020-04-19,강남구
