store_id,store_name,booking,receipt,blog
18570093,조희미용실,1,1,1
10983326,정정원 헤어 룩,1,1,1
18431392,헤어인러브,1,1,1
34786519,앤즈헤어,12,1,10
697084146,아나스타일,1,1,1
11880276,라보노헤어 1호점,1,1,8
20994406,살롱 드 브로,1,1,3
1044020547,미앤미헤어살롱,1,1,1
32219467,제오헤어 압구정점,42,1,3
1162694866,에스뷰테라 대치역점,10,1,3
21845046,컬처앤네이처 청담점,16,1,12
1696697649,에스헤어,2,1,5
18840116,S헤어1호점,1,1,1
1095251122,에스헤어,1,1,1
754969870,에스블랙,1,1,1
916279830,터치스비,1,1,3
32260618,위즈인헤어,1,1,1
32496464,사틴헤어 삼성역점,1,1,3
93418945,쉔부른헤어살롱,1,1,1
1381141756,유은정헤어,1,1,1
18807058,JOSHUA,1,1,1
13102452,쎄봉,12,1,5
38291418,로뎀헤어,1,1,1
13075445,엔비헤어살롱,80,1,15
1186558016,리안헤어 수서역점,66,1,2
935307551,벨르팜므헤어살롱,1,1,1
13592219,더에이,1,1,3
18839949,갤러리헤어,1,1,1
20634400,윤헤어클럽,1,1,1
18826661,헤어코디,1,1,1
36438860,드엔,1,1,5
13327235,수인스타일 논현점,37,1,15
20897847,청담헤어스튜디오,1,1,1
1006574115,차지윤미용실,1,1,1
522321180,써티헤어,1,1,1
20889577,킴스헤어,1,1,1
19994363,칼리아헤어,1,1,1
13151245,나인테라피미용실,1,1,1
20633072,아이비헤어살롱,1,1,2
710536466,미스터헤어,1,1,1
21268890,신오키새날,1,1,11
13154039,헤어갤러리,1,1,1
1076766708,김지후헤어갤러리,1,1,1
33938157,준오헤어 가로수길점,315,9,11
1509308410,준오헤어 신사역세로수길점,102,2,6
1608609322,스타스살롱,1,1,1
21783500,헤어라떼,1,1,1
20634374,DD헤어,1,1,1
1722140006,루이스,2,1,1
408671002,민 왁싱,1,1,1
1326456035,제이어반터치,1,1,1
934732941,더맨헤어,1,1,1
1317257270,초이브로우,1,1,1
1938614944,엘린뷰티랩,1,1,1
20827780,로얄헤어샵,1,1,1
19969811,TAEKKIM,1,1,1
11726505,준오헤어 대치점,143,1,10
34120412,더 제이 헤어메이크업,1,1,11
249878237,하루앤노아,1,1,1
1880086987,가희헤어,1,1,1
19718101,쟈끄데상쥬 강남역점,17,1,10
35572464,쟈당헤어,2,1,5
19828392,에이치 헤어살롱,22,1,11
37818441,에이치스타일 가로수길,8,1,11
12989035,스타일플로어 임진옥,1,1,5
1135633104,헤어지지마,1,1,1
20268411,샵스테이,21,1,4
37165580,반에스,85,1,11
20406565,우현증메르시,34,1,10
38257322,바바헤어 대치점,1,1,2
13355558,슈어 바이 정민,1,1,11
20377102,발렌타인,1,1,1
21007306,아이벨르 압구정본점,2,1,4
k1562814088,쎄미헤어,1,1,1
18397835,예삐오 ABO BCVC BYHONG,1,1,3
1005875309,미스터남성커트전문점,1,1,1
1338342994,리파이너리,1,1,8
1232285524,장한나헤어,1,1,1
21061216,예올,1,1,1
33831186,원헤어,1,1,10
20643232,원미용실,1,1,1
1294273370,민미경헤어,1,1,1
37269046,모트헤어,1,1,1
34958379,아이온헤어,29,1,10
18467381,헤어앤바이서은경,1,1,3
36166714,에스뿌아헤어,1,1,1
1820055997,에끌라,1,1,1
1659743131,헤어플레이스,1,1,1
13372477,박준뷰티랩 대치점,34,1,4
604350412,헤어마지코,1,1,1
21613054,더샵헤어,1,1,1
33039823,스타일비 미용실,1,1,1
31978136,리챠드프로헤어 신논현역점,16,1,10
31021384,W헤어 대치점,1,1,1
82379273,라트리헤어 스파힐 강남베르점,152,1,12
33912842,준오헤어 코엑스도심공항점,72,2,5
1426279116,수인스타일 삼성점,124,1,12
38462333,비클래시헤어,38,1,10
35976657,모즈헤어 삼성점,26,1,10
36342659,수성헤어,9,1,11
21407110,MJ헤어,1,1,3
32358933,M3D쏘타헤어 강남점,1,1,10
18449668,헤어바이러스,1,1,1
1748738166,폴스바버샵,4,1,2
21086238,블링블링뷰티샵,1,1,1
11858693,바비헤어,1,1,1
18817210,손끝차이,1,1,1
20596750,바버스,1,1,1
20942756,파라다이스,1,1,1
1498788228,슈풍크헤어,1,1,1
37849674,헤어존,1,1,1
1746730763,궁전헤어뱅크,1,1,1
20912380,오드리헵번,1,1,1
1452689674,HAARE,1,1,1
k18449649,토모토모,1,1,1
33158415,아이노헤어,1,1,1
32262299,신혜리헤어스타,1,1,1
1739188050,오늘염색헤어,1,1,1
33758240,본샵,62,1,15
13566300,포레스타 청담본점,18,1,11
258013837,라이온헤어,1,1,3
21547290,라뷰티코아 청담 세이엇데이점,6,1,11
37057319,고바이,7,1,10
11831176,이경민포레 청담본점,1,1,11
1593227414,우선,1,1,6
13166737,보이드바이박철,1,1,11
13220674,재클린,1,1,8
1353712147,소감,8,1,9
36652386,로앤로우,1,1,11
31515029,인트라다by한지오 청담점,15,1,10
13355189,에스휴,2,1,11
31694689,엘페라,7,1,11
37202351,김활란뮤제네프 청담부티끄점,1,1,11
75056372,트루핏앤힐 바버샵 청담본점,1,1,10
36859785,헤움,1,1,9
11724354,박승철헤어스투디오 압구정로데오점,25,1,10
37903600,애이수뷰티,10,1,7
13053252,킹스턴 맨즈헤어,57,1,7
1264362402,블로우,1,1,3
13399240,토니앤가이 청담본점,2,1,13
11568230,뮤사이 살롱드점,60,2,14
13355192,에이블청담,5,1,11
1701102071,엔투라지바버샵 압구정로데오점,15,1,9
35708383,오랑헤어 압구정본점,70,1,15
30976186,살롱프리즘,1,1,2
1236017479,아트헤어,1,1,1
37298677,박철헤어살롱박철본점,1,1,1
34345058,블레스바버샵,1,1,2
35188120,KJ 스타일,1,1,10
1439651720,톤 헤어스튜디오,1,1,1
32528267,프랑크프로보 가로수길점,1,1,7
21638346,S TA HAIR,1,1,2
95575426,콜라보엑스,1,1,11
1650123643,라이온헤어1,1,1,1
13355182,노주원헤어그라프,3,1,1
37903607,엘본헤어하우스,12,1,10
12011603,헤어뉴스,1,1,1
1718618926,해아 에비뉴,1,1,2
36505210,아슬란헤어,1,1,1
11858131,하안미용실,1,1,1
13161388,최봉관프로헤어,1,1,1
1495534262,수빈헤어&메이크업,1,1,1
1355159765,이끌,1,1,1
k1471613518,팀바이블룸,1,1,1
18486787,베르쥬반스,1,1,1
1768453373,정현정 parapam,1,1,1
1639885374,오색단장,1,1,1
36262993,라뮤제,1,1,1
36154403,행쇼를합시다,1,1,1
13161353,노승만헤어본,1,1,1
34565659,아낭재,14,1,9
36160589,에스살롱나인,1,1,1
20866408,규리헤어,1,1,1
1197245786,조경애 헤어픽스,1,1,1
1456520081,세곡푸르지오미헤어드림,1,1,1
32349630,수미헤어,1,1,1
1445275975,착한가격헤어,1,1,1
1884058523,데오로헤어,1,1,1
33251822,아자리아청담점,1,1,1
20590447,비엠헤어다이스 1호점,9,1,10
37082054,비엠헤어다이스 역삼2호점,3,1,1
543553754,프리미엄헤어다이스,1,1,1
30852812,리본헤어샵,1,1,1
18440914,이계숙미용실,1,1,1
38547364,지유,1,1,1
33252006,유진헤어,10,1,10
1843311328,앤네일,1,1,1
367360827,더썸뷰티,1,1,10
34550963,포레스트,1,1,1
34014035,상상모리뷰티살롱,5,1,10
36271091,위민헤어,1,1,1
33696507,준오헤어 삼성역점,131,1,10
38420161,준오헤어 코엑스몰점,58,1,10
62205523,베스카미용실,1,1,1
13149886,한스헤어 선릉점,55,1,6
38473521,한스헤어 선릉2호점,40,1,5
33595528,쌤시크,1,1,11
1173587711,엘린헤어,1,1,1
36935683,쓰리스토리 도산점,69,1,10
520873471,피렌체헤어샵,1,1,1
870235813,새로운헤어스타일,1,1,1
34119461,에이그로우,1,1,1
1730102865,백전백승헤어인,1,1,1
18574187,드김현서헤어,1,1,1
20757940,엥비떼헤어,71,1,10
1194297393,엥비떼헤어 신논현점,44,1,10
32359012,프리티살롱 청담점,73,1,10
34203513,요닝,1,1,10
33834687,애니헤어,1,1,1
1918780996,헤어살롱오엠지,24,1,10
34425338,헤어샵오엠지,9,1,11
184749003,클라시 헤어,1,1,10
35553026,서희헤어컬처,1,1,1
1179685463,살롱케이,1,1,1
35215481,가빈헤어,1,1,6
13580137,디하문바이공주,3,1,1
35117904,MUEL,1,1,1
616503673,뮤엘헤어,1,1,1
13150193,헤어투데이,1,1,1
427465441,민스타일헤어살롱,1,1,1
36351269,라떼뜨헤어,1,1,3
1834294866,헤어스토리,1,1,1
35003485,SAHAIR,1,1,10
1842540635,언니네리발소,1,1,1
34150686,박준뷰티랩 청담본점,60,4,10
37286483,SOHO by LIM,1,1,1
35044825,주니헤어,1,1,1
35215651,도도붙임머리,1,1,1
35092298,준오헤어 한티역점,81,1,10
1986902051,강수진헤어,1,1,1
35316799,소옴살롱,30,1,10
32537818,여우짓붙임머리 강남점,1,1,9
35366060,오다헤어 대치점,1,1,1
13150249,댕기머리크라시바헤어,1,1,1
35288588,프라브헤어살롱,1,1,1
37993364,헤어 바이 감성,1,1,4
156197985,권홍헤어 대치점,65,1,10
1328026754,권홍헤어 by jacob,1,1,1
35346873,우인뷰티살롱,1,1,1
32779303,꾸아퍼스트 무역현대점,1,1,3
1128836395,헤어랑,1,1,1
1449526076,또헤어,1,1,1
k1101200669,메모리아,1,1,1
1038619662,메모리아헤어,1,1,1
35593368,b cut hair shop,1,1,1
36932774,플랜에이치 압구정 로데오 본점,61,1,11
66119700,라엘리,1,1,2
35652427,준오헤어 선릉역2호점,48,1,1
548754619,비단헤어,1,1,1
36028370,J4U헤어살롱,1,1,5
35678602,르씨엘,1,1,1
36040090,헤어홀릭,1,1,1
35905243,나나베이지,1,1,10
13417759,오송헤어,28,1,7
13150121,더에이치에스헤어,9,3,11
1454315908,아프로디테,1,1,1
1514845456,준헤어살롱,1,1,1
1064805371,BARO 헤어,1,1,1
1771154300,미장원이,1,1,1
36561478,김수현헤어,1,1,1
20900836,라성헤어,1,1,1
36112548,살롱드윤,1,1,1
12453356,헤어캐슬24시붙임머리전문점 논현지점,1,1,10
20858794,닥터큐헤어샵,1,1,1
11561757,라메종뷰티,1,1,11
34745234,제이비헤어스토리 청담점,59,1,15
18467324,헤어카리스 선릉본점,43,1,10
38009680,사틴헤어 대치도곡점,1,1,12
37495575,HOME HAIR,1,1,1
1519315614,오투헤어,1,1,1
21407151,제이살롱 붙임머리,1,1,13
36341125,엠플러스,1,1,4
36351266,가온헤어,1,1,1
36466158,마에스트로헤어수서역점,1,1,2
36620291,비엠헤어다이스 5호점,11,1,10
36481244,날아 헤어,2,1,8
1972451841,헤나클리닉,1,1,1
34466132,코코헤어,1,1,1
218844858,비나인헤어,4,1,1
36663176,리소헤어 강남점,107,1,10
11737510,에이컨셉 청담 본점,57,1,12
21621909,소유미용실,1,1,1
770106318,소유헤어&메이크업,1,1,1
37769709,R&H 헤어,1,1,1
659978155,알앤에이치헤어,1,1,1
37703480,스틸앤스톤,1,1,4
11889727,쿠헤어,145,1,15
36823228,컬렉션위드챨리정,1,1,1
37633011,j헤어살롱,1,1,1
34357448,블루클럽 역삼점,1,1,1
232631602,헤어망고 대치점,1,1,1
11554085,헤드마스터,1,1,1
37039613,헤어그곳,1,1,1
916258236,미스터클럽,1,1,1
37233208,노아콤마에스,1,1,1
13150510,티파니헤어,1,1,1
37160820,헤어바이반룬하우트 대치점,136,1,10
597852139,어헤즈맨,1,4,10
37101503,CHOPHAIR 대치점,518,1,11
19805574,매스티지헤어,31,1,14
37309147,이엔에스,1,1,9
1189110085,벨르수이,1,1,1
37467972,헤어채플린,1,1,1
1973644862,고수에리카헤어,1,1,1
1574340058,박호준헤어 일원점,99,1,4
1704473821,디자인하우스 고유HAIR,17,1,7
1403337638,로뎀헤어,1,1,1
1588863385,로뎀헤어 역삼점,1,1,1
37620854,아이벨르팜므 대치점,1,1,1
38676668,더윤헤어,1,1,1
1669084278,언니네미장원,1,1,1
37822140,리엔헤어샵,1,1,1
37673416,준오헤어 강남4호점,126,1,10
874050067,누보,1,1,2
37896710,반함,138,1,10
1322934663,최고헤어,1,1,1
37896485,호유헤어,1,1,1
1281350726,착한미용실,1,1,1
37910488,제이더블유앤투헤어,1,1,1
1985398534,헤어다이스 10호점,15,1,1
37936276,미정살롱,1,1,2
38310407,넌데일리,108,1,10
37405009,더예쁜머리 강남점,39,1,12
1207132009,라온헤어,1,1,1
1918615626,라온하임,1,1,1
38262309,헤어디엠마,1,1,6
96113777,단발머리헤어,1,1,1
37942019,빌라드블랑,17,1,11
38281230,대청헤어염색방,1,1,1
1018057747,살롱드 바이 깁슨,5,1,1
38299672,리챠드프로헤어 압구정점,1,1,5
37591843,살롱비,1,1,8
38448390,켄맨즈헤어,74,1,10
38474260,쓰담헤어,145,1,11
1921760811,에이컨셉 강남2호점,193,1,10
38501265,라리엔 강남점,258,1,11
38531034,론헤어 그루밍점,28,1,10
38555374,로미살롱,20,1,11
38508020,헤어아티스트M 대치점,94,1,10
38647914,바이감동,22,1,7
240870594,by감동,1,1,1
38624095,탑스타일,14,1,15
38648515,디어리헤어,1,1,10
1006797825,FAME 진 헤어,1,1,1
49107511,사랑해미용실,1,1,1
91671162,디자인안,3,1,8
234030750,더청담헤어,1,1,1
1657716413,더톡,1,1,1
292325267,레미샵 논현점,3,1,4
95154511,누벨르,2,1,2
11728755,나이스가이 수서역점,1,1,1
333591401,나미살롱,1,1,1
20454556,가연미용실,1,1,1
20635272,GAYEON,1,1,1
405803523,르포렘헤어,9,1,3
1063882601,블루클럽 자곡점,1,1,1
992161916,우혜림헤어스퀘어 본점,10,1,10
764155343,헤어루아르,1,1,11
385538746,난길헤어,6,1,1
57863369,살롱드와이,1,1,3
771987955,박찬순헤어,1,1,1
578554202,클라스헤어,172,1,11
12832058,세븐스트릿,1,1,6
507722238,리에르,13,1,10
549195463,이음머리공작소 압구정점,1,1,10
658226374,my name is 영웅. 헤어&탈모,3,1,1
950117708,위살롱,1,1,1
581539655,준헤어,1,1,1
593645057,온헤어,24,1,9
87840549,제이스타일플로어,8,1,6
857799439,수수살롱,8,1,10
859557468,Salon de S AURA,1,1,2
21884450,블루클럽 영동전화국점,1,1,1
1845398037,초이진헤어,16,1,2
528920477,매티스,4,1,5
529114355,모습 헤어살롱,1,1,1
49224468,임창희헤어,1,1,1
30923159,공리미용실,1,1,1
415458891,바비수앤,35,1,10
104962691,고아라헤어케어 강남점,31,1,10
1541113125,카미유헤어,1,1,1
37207281,준오헤어 강남우성점,268,1,10
391359158,준오헤어 강남우성사거리점,257,1,12
1837670175,정스헤어샵,1,1,1
1112567324,프롬제이헤어살롱,9,1,5
836930365,아뜰리에제이 헤어살롱,2,1,10
431156768,미립헤어,26,1,10
68125570,은살롱,1,1,1
1524955179,이문원헤어랩,1,1,2
1522160065,살롱드미네스헤어,27,1,10
1776637261,에이플러스헤어,1,1,1
925703653,라본헤어 강남점,1,1,4
665063357,박승철헤어스투디오 선릉역점,44,1,7
